route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
CB:1,CB,1,,,3,,A3A3A5,FFFFFF
CB:1A,CB,1A,,,3,,FFFFFF,000000
CB:2,CB,2,,,3,,A3A3A5,FFFFFF
CB:2A,CB,2A,,,3,,FFFFFF,000000
CB:3,CB,3,,,3,,FFFFFF,000000
CB:4,CB,4,,,3,,454448,FFFFFF
CB:6,CB,6,,,3,,084290,FFFFFF
CB:7,CB,7,,,3,,FFFFFF,000000
CB:8,CB,8,,,3,,4BA99F,FFFFFF
CB:9,CB,9,,,3,,D69F52,FFFFFF
CB:11,CB,11,,,3,,FFFFFF,000000
CB:13,CB,13,,,3,,FFB400,FFFFFF
CB:14,CB,14,,,3,,FFFFFF,000000
CB:17,CB,17,,,3,,FE000B,FFFFFF
CB:18,CB,18,,,3,,FE000B,FFFFFF
CB:21,CB,21,,,3,,00B256,FFFFFF
CB:23,CB,23,,,3,,18AB5C,FFFFFF
CB:24,CB,24,,,3,,136930,FFFFFF
CB:25,CB,25,,,3,,136930,FFFFFF
CB:25A,CB,25A,,,3,,FFFFFF,000000
CB:27,CB,27,,,3,,AAD600,FFFFFF
CB:28,CB,28,,,3,,007567,FFFFFF
CB:29,CB,29,,,3,,FFFFFF,000000
CB:30,CB,30,,,3,,5A0E84,FFFFFF
NB:30,NB,30,,,3,,FFFFFF,000000
CB:32,CB,32,,,3,,FFFFFF,000000
CB:35,CB,35,,,3,,806DB0,FFFFFF
CB:44,CB,44,,,3,,464647,FFFFFF
CB:45,CB,45,,,3,,464647,FFFFFF
CB:49,CB,49,,,3,,A96036,FFFFFF
CB:50,CB,50,,,3,,A96036,FFFFFF
CB:52,CB,52,,,3,,A2128F,FFFFFF
CB:54,CB,54,,,3,,A2128F,FFFFFF
CB:57,CB,57,,,3,,2398D9,FFFFFF
CB:58,CB,58,,,3,,2398D9,FFFFFF
CB:61,CB,61,,,3,,FE000B,FFFFFF
CB:62,CB,62,,,3,,FFFFFF,000000
CB:63,CB,63,,,3,,4C2408,FFFFFF
CB:64,CB,64,,,3,,829F97,FFFFFF
CB:86,CB,86,,,3,,FFFFFF,000000
CB:91,CB,91,,,3,,FFFFFF,000000
CB:92,CB,92,,,3,,FF4B71,FFFFFF
CB:92B,CB,92B,,,3,,FF4B71,FFFFFF
CB:93,CB,93,,,3,,FF4B71,FFFFFF
CB:93S,CB,93S,,,3,,FF4B71,FFFFFF
CB:94,CB,94,,,3,,FF4B71,FFFFFF
CB:95,CB,95,,,3,,9E1F3A,FFFFFF
CB:96,CB,96,,,3,,5A8486,FFFFFF
CB:101,CB,101,,,3,,FFFFFF,000000
CB:102,CB,102,,,3,,FFFFFF,000000
CB:136,CB,136,,,3,,FFFFFF,000000
CB:305,CB,305,,,3,,FFFFFF,000000
CB:604,CB,604,,,3,,767676,FFFFFF
CB:606,CB,606,,,3,,767676,FFFFFF
CB:608,CB,608,,,3,,767676,FFFFFF
CB:609,CB,609,,,3,,767676,FFFFFF
CB:610,CB,610,,,3,,767676,FFFFFF
CB:611,CB,611,,,3,,767676,FFFFFF
CB:619,CB,619,,,3,,FFFFFF,000000
CB:B1,CB,B1,,,3,,FFFFFF,000000
CB:B2,CB,B2,,,3,,FFFFFF,000000
CB:H59,CB,H59,,,3,,009EDD,FFFFFF
CB:M1,CB,M1,,,3,,A6A6A7,FFFFFF
CB:Sky,CB,Sky,,,3,,FFFFFF,000000
